user_address,total_debt_usd,total_collateral_usd,health_factor
0xfa4fc4ec2f81a4897743c5b4f45907c02ce06199,47860220.25,54302178.74,0.9077
0x4352cc849b33a936ad93bb109afdec1c89653b4f,47011814.69,83852990.54,1.3919
0x94def848159b30605afe0c1d1ac43d6d588b940a,45146153.47,63111162.52,1.0904
0x9fb1750da6266a05601855bb62767ebc742707b1,44764024.83,49910017.19,0.8362
0x2e15d7aa0650de1009710fdd45c3468d75ae1392,44534771.27,49738419.96,0.8935
0x58e70d8bed174643fb5f177e3f0ab2cfe689487d,44419177.74,67745305.28,1.2201
0xefad748654ec2c072b8735c010ae2fdea04aaf7d,43991343.22,76108273.05,1.4360
0x8ad459048c798b7435887184d81d7dd8cf2ab818,43908643.84,47920025.49,0.8743
0xeb2a1125f1e14822d0708464b795baad6b9038ce,43596067.55,82700569.67,1.5365
0xb561b1e79e448bc3a7ac4dc377eeecbc99505f60,43342423.95,76880374.66,1.3836
0xc35bc7e918bb4c0159296d9749dc59de605b4b93,43214634.11,46435375.04,0.8602
0x9e30a1cb1bad5f4a4915390fee7b77213e36625b,42187957.37,0.00,0.0000
0x3af4a49c8e2fcaf33fd3389543b80d320fcc9091,41403822.23,44601115.22,0.8618
0x839a8de8e0aff8021a0aec2e42ef1f229ec99235,40495574.60,44399577.90,0.8223
0x531e08e19e54ea655822d62f160e27af727b6e9f,40471349.52,0.00,0.0000
0x22a65f880bf67b6b62aa6cca4f28b6ee085ee6ba,40019022.79,44038502.39,0.8473
0x6142eb927529974c5cded66dafc57cb5aaaf73ab,39978950.30,44906234.11,0.8424
0xf2df969f59b2c86e4b230da88918cdebcfc4ccbc,39887300.46,43000171.20,0.8624
0xdf2609ec3d2e07a79d2e25e52960e75250bd9aaa,39303708.77,52730753.76,1.0604
0xc89657cc18c66ffc01d758ed42e61f28c6be43aa,38802351.94,45618.57,0.0009
0x0a0fa2b02ae73bd9eb4c1e086458099eca42476e,38333111.16,90485004.63,1.8642
0xc86c66c430d40523a126795b9f03242740583d12,38271742.12,51171882.95,1.0903
0x989b96317735d70a7762bf96c034b203713aae18,38108576.42,53524215.98,1.1384
0xaaf9f14f20145ad50db369e52b2793bfeb18a45b,37878980.15,49909407.78,1.0277
0x3af077300bbfbdd697e74b07c761bbcf18ea1971,36724206.06,50558311.03,1.1014
0xfad075025424f08e06037a9b18dc5f9941021053,36188799.40,40676819.50,0.8430
