scenario,bad_debt_usd
122,1313457302.8010883
123,1354348105.8511195
124,1305499480.1044624
125,1399206931.4179757
126,1393830670.6252437
127,1368729469.5990522
128,1357352997.5878189
129,1334415089.463716
130,1350166697.8877187
131,1356291596.9370642
132,1348439586.1619794
133,1287979568.719375
134,1413212265.9134648
135,1381335084.701893
136,1338610529.387729
137,1362979174.1819572
138,1300093751.6319864
139,1384033864.5212843
140,1368795529.4618857
141,1303888521.4155798
142,1381567469.0103335
143,1324204696.0270584
144,1310235681.915117
145,1355412555.3075125
146,1355097977.363745
147,1417757944.7278037
148,1368679935.4399388
149,1379568898.9872103
150,1370630128.568736
151,1289156800.7101264
152,1327788277.2184005
153,1403473316.2958145
154,1356085108.0739005
155,1345965205.195688
156,1387971919.707995
157,1327441920.0681343
158,1341523575.7548618
159,1358434775.1179578
160,1367716400.8635993
161,1345451455.5574214
162,1354981634.8559844
163,1323398058.3993096
164,1290291750.5466397
165,1386546045.608727
166,1320601273.0540788
167,1371632552.616653
168,1361612309.4449782
169,1304805199.878533
170,1325711964.7188492
171,1361399648.532398
172,1373550646.0315425
173,1335102347.7027369
174,1333993114.5492587
175,1336796740.5412483
176,1394695572.8345287
177,1337409568.351837
178,1392309711.7977839
179,1397205622.0950375
180,1342263379.5819712
181,1368246066.6161962
182,1380452504.0884597
183,1346315531.9572499
184,1344847273.7938786
185,1386500157.4248176
186,1356096121.067734
187,1341930891.800631
188,1358203930.240059
189,1321351110.1576676
190,1409975471.749426
191,1375277239.6622062
192,1330127278.6617532
193,1335594062.3634698
194,1345730871.7798886
195,1348915980.325035
196,1326960109.35152
197,1308909525.2762403
198,1351904176.6949942
199,1351672580.2810276
200,1341358022.0184288
201,1361341404.8232014
202,1381105611.1078355
203,1388034840.8932083
204,1388846387.9003832
205,1306406888.1412892
206,1308520339.1531649
207,1370188880.3169606
208,1361096204.4600017
209,1444812519.1361039
210,1306824429.8715813
211,1319039760.7629833
212,1341968008.3294349
213,1340977760.8609731
214,1343276400.7151155
215,1319057178.373152
216,1302418341.4417908
217,1387603975.6284118
218,1379290983.2029166
219,1362049878.4038851
220,1367656511.4429667
221,1376654461.5541365
222,1316949220.7289429
223,1351833908.6426525
224,1259413435.194354
225,1370938648.1182582
226,1358431746.5618982
227,1343265736.4984262
228,1353456691.967737
229,1352053185.606649
230,1374053530.6452932
231,1335903396.3154218
232,1322440309.5410745
233,1384577182.021674
234,1353790353.407188
235,1330972709.0173032
236,1355728330.3864107
237,1402968811.0889497
238,1328420562.8565025
239,1344835430.4952443
240,1363381563.596493
241,1349576795.377515
242,1259386209.9735527
243,1387283230.409278
244,1409530957.0097985
245,1439342814.021461
246,1383564889.7896821
247,1337743445.00196
248,1377538791.2551608
249,1316539533.3034596
250,1376735866.4933476
251,1366318431.1030812
252,1376990959.951211
253,1345204511.8622863
254,1375842178.1454809
255,1372896668.6117668
256,1340274458.697451
257,1368482794.5796428
258,1384738758.0488412
259,1340112611.6358862
260,1346853694.8776627
261,1374847599.2438538
262,1305475919.6593118
263,1395759829.1403651
264,1324346163.6017525
265,1325875037.9396133
266,1340117715.234778
267,1367344291.5657911
268,1398545412.7290473
269,1398407138.9589841
270,1303735966.203805
271,1324643062.3053734
272,1334577692.3512962
273,1335180879.768875
274,1350941293.8489037
275,1390537571.815229
276,1349944942.7676668
277,1315195193.7924109
278,1334675266.298257
279,1320318496.3040655
280,1336863043.8153784
281,1385709170.0329754
282,1295811926.7373717
283,1314402843.3516772
284,1391968089.2308686
285,1361665071.4035711
286,1372571806.3795307
287,1362813763.0199184
288,1383071255.029656
289,1307790494.8595862
290,1314754467.0607827
291,1387499487.6875072
292,1319199043.0806398
293,1317042112.8040333
294,1357778569.8057384
295,1350389811.6505759
296,1327658116.9112132
297,1355942269.1963544
298,1381623255.3942661
299,1316438291.9030404
300,1348603539.9377785
301,1334265381.7724075
302,1399298907.9579358
303,1311569798.817844
304,1368180241.3049924
305,1330391682.8923855
306,1349947375.1040595
307,1398228667.6220777
308,1397835530.6579037
309,1318976738.9923346
310,1318786368.7832835
311,1281453751.2102072
312,1340127662.1869025
313,1331741181.7049725
314,1351926792.8052166
315,1386177062.9285285
316,1320707930.2388065
317,1375956828.6282265
318,1332699130.4649014
319,1281939125.4249823
320,1322456593.0905142
321,1373224012.2155752
322,1332276037.098668
323,1306069641.975111
324,1316308647.4411905
325,1380147100.383041
326,1337437417.6059575
327,1363697561.8862784
328,1255333026.8976
329,1317121727.533979
330,1324185749.2844203
331,1323818786.3047712
332,1372442107.5088868
333,1326311061.7240913
334,1364916396.9185846
335,1353096597.8213856
336,1390420020.0572062
337,1336422768.2128694
338,1397389299.986149
339,1376908970.0718799
340,1368403026.2297976
341,1332637938.4471567
342,1393003556.05449
343,1414733452.8201873
344,1315982550.6245737
345,1374330550.35132
346,1339249430.6121545
347,1355594806.9627013
348,1338002953.276822
349,1386421870.540731
350,1364280015.070129
351,1331726093.3668952
352,1382910495.9009109
353,1377341817.0871708
354,1357344085.2531133
355,1373129355.344118
356,1357173989.1069999
357,1327437852.004957
358,1284791109.8626866
359,1400494530.5218298
360,1297914887.6030953
361,1373930982.9772718
362,1298284908.062347
363,1378376264.9528577
