user_address,symbol,amount,amount_usd,price_usd
0x2735a560ca4a5ec14776a2cef36280f17a980cd2,WETH,5628.043620151728000000,15898879.51,2824.93892778
0xfad075025424f08e06037a9b18dc5f9941021053,USDe,15849766.505381944000000000,15837653.96,0.99923579
0x109b304ab7eee74dafc93e3b04eae7001d7a295f,USDT,15822022.917461000000000000,15821922.13,0.99999363
0xed0c6079229e2d407672a117c22b62064f4a4312,USDT,15805912.237733000000000000,15805811.55,0.99999363
0x2c4fb358eadfe01184451a74bd0a3812e3da1c08,USDT,15548339.370510000000000000,15548240.33,0.99999363
0x5410d09be697e57cd7c4ffa83759abed3219e020,WETH,5501.960600753521000000,15542702.68,2824.93892778
0x449be7d5da3415cc23576d13ed56ea0f24947095,WETH,5500.000167602868000000,15537164.58,2824.93892778
0x1e4535ede3ef2de03d8e9bcf466924665ea19b54,USDC,15464252.093600000000000000,15459775.81,0.99971054
0x2824fe10aa823bb3b2c794c0b3d0c2b6601b515a,WETH,5320.184612871160000000,15029196.62,2824.93892778
0xe637b85b0649e2b4477663e1d219611d1aa3c64c,USDT,15003484.148591000000000000,15003388.58,0.99999363
0x236f968b3e9cc45d6d86bc95386a27c8051ab1ce,USDC,15000000.000001000000000000,14995658.10,0.99971054
0x4352cc849b33a936ad93bb109afdec1c89653b4f,USDe,15000169.751110360000000000,14988706.47,0.99923579
0x9e30a1cb1bad5f4a4915390fee7b77213e36625b,USDT,14738166.402342000000000000,14738072.52,0.99999363
0x2446beb3905cffbd2c5eb18f1f9c2996b05257c4,USDC,14568878.682217000000000000,14564661.57,0.99971054
0x2a0ada17c08fbf240e7759b044f19afc7369a868,WETH,5115.839235863617000000,14451933.41,2824.93892778
0x74600f1edcd794977b6848a459b0ce14c5d330e3,USDT,14380350.920011000000000000,14380259.32,0.99999363
0xddf725d2ebd795748dd8c6b700b7c98d1dfb8ce5,PYUSD,14240927.151929000000000000,14236089.51,0.99966030
0xf929122994e177079c924631ba13fb280f5cd1f9,WETH,4989.686048609810000000,14095558.36,2824.93892778
0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,USDT,14068642.706020000000000000,14068553.09,0.99999363
0x04c58ee5e5fc5f56a824184c5d88e94b7ca4aa76,USDC,14020163.359252000000000000,14016105.08,0.99971054
0xb20fb60e27a1be799b5e04159ec2024cc3734ed7,USDC,14019485.345614000000000000,14015427.27,0.99971054
0xc427dcc18dc41f519263aeed1fafda7a7c8294ff,USDC,14011449.161409000000000000,14007393.41,0.99971054
0x26d19d19aced3d07ca08444276ef2d6caa57d193,USDC,14009257.926698000000000000,14005202.81,0.99971054
0xd65fdb5eb1efd6a8859e619793d25c9357948568,USDC,14005837.121049000000000000,14001782.99,0.99971054
0x8577c67e306f944d869c9ae2e5c603a162fcf7ce,WETH,4946.436258258465000000,13973380.34,2824.93892778
0x01d1f55d94a53a9517c07f793f35320faa0d2dcf,WETH,4939.913559437558000000,13954954.11,2824.93892778
0x62bc66de718645a1f605638132a57213119aa5e1,WETH,4904.842271958505000000,13855879.87,2824.93892778
0x1df2fba03a26e161bd22bef52a5cbfe34a180882,WETH,4899.805431418144000000,13841651.10,2824.93892778
0xc3da51cc1063b3ceb44b041fd336ef6c74291fb0,USDC,13761978.171722000000000000,13757994.63,0.99971054
0x858b71e1d6e421fee400994bfd918da26dfd33af,USDT,13641074.118170000000000000,13640987.22,0.99999363
0xfcd091e1207e467a5b23ac3bc0105e2742309d9f,USDT,13567072.565204000000000000,13566986.14,0.99999363
0xe64f291923dea9a996d92a2a6e6b5e788ccc10a4,WETH,4783.304406994660000000,13512542.82,2824.93892778
